,ID,VALUE_PER_UNIT,YEAR_INDEX,LONGITUDE,LATITUDE,PROVINCE_NB,PROVINCE_NL,PROVINCE_NS,PROVINCE_ON,PROVINCE_PE,PROVINCE_QC,SOIL_TEXTURE_CLAY_LOAM,SOIL_TEXTURE_GRAVELLY_LOAM,SOIL_TEXTURE_HEAVY_CLAY,SOIL_TEXTURE_LIGHT_LOAM,SOIL_TEXTURE_LOAM,SOIL_TEXTURE_MUCK,SOIL_TEXTURE_SANDY,SOIL_TEXTURE_SANDY_CLAY,SOIL_TEXTURE_SANDY_LOAM,SOIL_TEXTURE_SILT,SOIL_TEXTURE_SILTY_LOAM,SOIL_TEXTURE_SILT_CLAY,TILE_DRAINAGE_yes,IRRIGATION_OTHER,IRRIGATION_PIVOT
62,63,1.247881073227144,4,-97.467709,49.402962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,65,2.6450136649155147,5,-82.081265,42.622326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
66,67,2.7663422999560154,5,-80.75483299999999,42.786709,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
68,69,2.959578537433961,3,-80.615165,43.934284999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
73,74,5.814631590912461,3,-80.96167,43.10053,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
79,80,2.9828,3,-72.626784,45.786796,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
83,84,1.1015948167221006,5,-78.056899,44.303384,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,93,2.2904177559885937,6,-82.487747,42.288158,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
96,97,1.6607938006256702,5,-77.63269,44.42828,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,107,2.659592869533416,5,-82.069212,42.623356,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
117,118,1.8859066041325867,4,-80.67949499999999,44.421306,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,124,4.137528849527782,5,-80.34688,42.989706,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,131,0.15221678041741005,6,-64.32194799999999,45.941103000000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,135,1.136930855033285,3,-98.97290500000001,49.484262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,137,1.2587537003998162,5,-76.868248,44.098681,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,145,2.687021542628112,5,-78.85525200000001,44.015248,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,153,3.4374000000000002,2,-72.859787,45.79385,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,156,0.9516019827718281,5,-81.106782,44.87992,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
160,161,3.021849038513811,4,-81.90057,42.989329999999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,162,0.956049875706103,5,-76.77925,44.296853000000006,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,163,1.2546000000000002,2,-71.632014,46.539268,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
164,165,3.7809560992967386,6,-81.92008,42.331854,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
166,167,3.1363000000000003,3,-73.22189399999999,45.013861,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
176,177,0.6189,4,-76.516139,45.651934000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,185,1.648932752800937,5,-81.106224,44.498707,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
187,188,4.940126419001398,6,-79.63293,43.185943,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
188,189,3.554607769974746,4,-81.12409,43.77472,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
189,190,4.180400000000001,5,-72.935786,45.511534999999995,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
190,191,2.586943951606925,5,-82.454764,42.260090000000005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
194,195,1.0446,6,-71.650933,48.434293,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
195,196,4.250703014188779,4,-82.240854,42.394241,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
196,197,1.1248227020455366,3,-98.967434,49.484262,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,198,1.2379968667065329,5,-76.868248,44.098681,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,200,2.2973367005530214,2,-82.918148,42.035559,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
224,225,2.7851222923451764,5,-82.056614,42.621871999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
228,229,0.4979169034757812,5,-81.85123399999999,45.760456,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
232,233,0.8237,4,-71.805782,46.57202,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
236,237,3.9770000000000003,5,-73.657912,45.953771,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,239,2.805632020875444,4,-80.370623,44.016591,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
251,252,1.1737495243225613,3,-98.967434,49.484262,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
252,253,2.6235155157331858,4,-81.46934499999999,42.667134000000004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
257,258,2.1359770291040463,4,-82.412313,42.728646999999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
272,273,0.4361406127219622,5,-101.324122,51.482146,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,287,2.922018552655639,4,-82.3648,42.66758,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
287,288,2.664040762467691,5,-82.08126899999999,42.619585,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
294,295,1.2901360561027562,5,-76.994153,44.069693,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,308,0.8996000000000001,4,-72.42555899999999,45.973029,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
308,309,2.0457836446034703,4,-82.528021,42.159332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
311,312,3.383116786842144,5,-81.696533,42.849041,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
343,344,0.46356928581665785,5,-101.217039,50.988708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,347,0.664218678185062,5,-100.559777,50.111754,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,354,0.9276327819593463,4,-98.267901,50.030584999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,358,2.5256618711791363,5,-81.79775,42.65276,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
360,361,0.5645,6,-72.45924699999999,48.827478,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
363,364,3.3271,5,-73.368081,45.834477,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,365,0.9952000000000001,5,-69.921184,47.429402,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
370,371,5.0557716352925475,5,-80.60468,43.04827,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
376,377,2.6494615578497895,6,-97.788234,49.15927,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
386,387,0.6143034352559762,5,-101.48871700000001,51.8771,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,389,0.4650519167947495,5,-101.336016,51.482108000000004,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,397,0.2567422643728718,6,-100.117717,51.481389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
403,404,3.4618,3,-73.024222,45.771621,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
410,411,1.6792,3,-72.02329300000001,46.488918,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
419,420,6.733615692166272,5,-80.991792,43.180383,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
425,426,1.1102434974276352,4,-63.028916,46.317525,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
432,433,3.0386521895988494,3,-82.04647,43.01441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
433,434,2.616596571168758,5,-81.650568,42.828340999999995,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
434,435,2.3734450907617264,6,-75.43726,45.2363,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,436,1.03833589499019,3,-98.45994,49.255376,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,452,2.1856451668701165,6,-97.19830999999999,49.717619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,456,1.5550327908551322,5,-76.09255300000001,45.458264,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,459,0.4877855917921549,5,-101.240495,51.003495,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,462,3.9834,4,-73.472635,45.963159999999995,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
462,463,0.5685889800981502,5,-100.548102,50.104206,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,467,0.9755711835843098,5,-64.706876,45.098259999999996,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
478,479,0.9763000000000001,3,-72.927121,46.419076000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
482,483,3.2793,6,-72.534313,45.800084000000005,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
483,484,4.19881092995557,5,-81.41765,43.72808,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
488,489,3.1963000000000004,6,-73.876894,45.799867,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
489,490,0.8282965064272053,4,-62.883586,46.087676,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
494,495,2.9635322200422056,5,-82.09685999999999,42.547059999999995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
495,496,2.5167660853105867,5,-82.027964,42.637457,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496,497,1.6976124699149464,4,-96.657329,49.63309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498,499,0.4497313966878024,5,-101.3007,51.474708,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,502,3.3329,5,-73.24463399999999,45.566002000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
506,507,0.2678619967085592,6,-100.10586500000001,51.481437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
509,510,3.2652476240838575,6,-82.904317,41.988366,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
511,512,2.894836984723959,5,-81.585245,43.176202,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517,518,2.9848000000000003,2,-73.245988,45.440422,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
526,527,3.006775623569879,6,-80.163674,44.388087,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
534,535,3.234,3,-73.93043,45.16155,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
535,536,1.1016000000000001,3,-72.927121,46.419076000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
541,542,0.9813000000000001,5,-71.502222,46.653696000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
544,545,2.230124096212866,5,-81.914116,42.720281,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
547,548,1.6200214487281497,4,-96.657329,49.63309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
556,557,1.497704393035588,5,-79.46565600000001,44.514746,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
560,561,2.196764899205804,5,-77.283636,44.185719,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,565,0.408217729301236,4,-97.56314300000001,50.215249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
565,566,0.46010981353444397,5,-101.240509,50.996204999999996,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572,573,2.1280696638875574,2,-81.982497,42.818042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
579,580,1.0289000000000001,3,-72.927121,46.419076000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
585,586,1.0296872142846554,3,-98.459969,49.262628,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595,596,1.6627706419297925,5,-76.094913,45.473855,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
596,597,2.5291213434613504,5,-82.022115,42.637065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,599,4.2041,4,-73.114775,45.225589,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
601,602,5.821550535476888,6,-81.07317900000001,43.286828,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
602,603,1.4141828479364247,4,-98.053207,49.122933,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
603,604,2.205,4,-72.72608000000001,45.489758,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
604,605,10.171836930360824,3,-79.635885,43.924548,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607,608,2.3034,5,-73.275968,46.194499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
609,610,4.0991,5,-73.534529,46.042921,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
618,619,0.3975922072915791,4,-97.56314300000001,50.215249,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
635,636,1.5851796207429958,5,-98.607714,49.381095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
641,642,2.8570298947826216,4,-79.854058,44.596483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
642,643,3.35,3,-73.553224,45.24163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
644,645,0.6787978828029633,6,-100.47869200000001,51.055462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
655,656,2.7957478143548333,2,-81.878849,43.011604999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
660,661,0.4586271825563523,5,-101.31254200000001,51.48219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
674,675,4.197081193814464,4,-82.352222,42.388065999999995,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
676,677,5.566785112408139,4,-81.242182,43.363037,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
678,679,0.41736062033280125,4,-97.563314,50.222553999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
692,693,0.5769905556406696,5,-101.048835,50.598113,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
694,695,1.5481138462907045,5,-98.607714,49.381095,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
698,699,1.0230000000000001,3,-72.927121,46.419076000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
700,701,1.1964831993199665,4,-62.060591,46.423195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
703,704,1.9723934111879333,4,-81.543914,44.247625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
707,708,1.7391261373015128,3,-82.19272,42.28832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
709,710,0.2980088265964229,6,-100.352308,51.460203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
724,725,1.0964056082987799,5,-97.703818,49.698581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
726,727,2.4453526931991716,3,-82.874415,42.033654,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
731,732,0.3857311594668459,4,-97.563314,50.222553999999995,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
734,735,0.7114157643209797,4,-62.555052,45.978583,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
740,741,0.7094389230168575,4,-100.353448,50.20747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
742,743,1.5177199112398254,6,-97.064981,49.654182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
743,744,2.291406176640655,5,-82.262366,42.630435,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
745,746,3.590438018611961,5,-79.99884300000001,44.386392,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
752,753,3.3660665305940904,4,-82.035515,42.559659,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
759,760,2.551360808132725,6,-81.705708,43.720244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
764,765,1.958802627222093,4,-81.05597,44.532989,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
769,770,4.6225000000000005,5,-72.919392,45.386218,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
770,771,2.413476127170201,5,-82.024872,42.637361999999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,780,1.5372412191180322,5,-98.482602,49.366240999999995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,781,2.824412013264605,5,-78.391808,43.962495000000004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
794,795,2.4782176798802036,5,-80.456958,44.020163000000004,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
795,796,0.7494699594253322,4,-62.550658999999996,45.969944,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
796,797,2.312163010333938,5,-82.51714799999999,42.263196,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
800,801,1.5019051808068478,6,-78.58250100000001,44.509696999999996,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
802,803,2.683067860019867,6,-80.528693,43.904689000000005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
804,805,0.5732839781954404,5,-101.04884,50.605337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
806,807,0.1299773157460352,5,-78.883916,48.756787,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
814,815,1.2268771343708456,4,-62.060351000000004,46.418748,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
823,824,0.2903485665429493,6,-100.352284,51.452953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
828,829,0.5292,5,-72.463624,48.836394,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
832,833,4.34583850194966,2,-81.878849,43.011604999999996,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
834,835,2.411252180703064,5,-78.185654,44.377860999999996,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
844,845,3.148366881977632,6,-81.31970600000001,43.936488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
859,860,0.18878834454367088,4,-67.598579,46.750178000000005,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
861,862,6.225567477006865,6,-81.075861,43.397034000000005,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
872,873,2.408039813583865,5,-80.581112,44.113842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
874,875,2.4631442649362714,2,-81.982497,42.818042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
878,879,1.3076,3,-70.851119,46.970955,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
879,880,2.9741,4,-74.439937,45.607527000000005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
882,883,4.235629599244847,5,-82.27879399999999,42.593121999999994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
896,897,0.3471827540364628,5,-100.11779,51.394427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
900,901,1.9323623747794587,6,-77.98374799999999,44.151592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
905,906,0.8821654319645355,5,-99.95211,49.964054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
912,913,4.049559411494344,4,-82.375387,42.496043,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
916,917,0.6269057985697554,6,-67.70747800000001,46.534420000000004,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
917,918,3.648754837083566,5,-82.000966,42.903138,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
925,926,0.4137,4,-68.777249,47.585401,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
930,931,3.5392872498677987,5,-80.42460799999999,43.01716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
946,947,2.8068675466905204,2,-82.233002,42.951232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
951,952,0.9612,4,-71.875577,46.166990999999996,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
961,962,2.6212915692660483,6,-82.358799,42.812802000000005,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
962,963,0.9217022580469796,5,-99.95211,49.964054,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
963,964,1.6422,5,-73.026219,46.426362,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
975,976,0.19125939617382365,4,-67.60022,46.748424,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
976,977,1.7067,6,-72.360589,46.445279,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
984,985,4.3437,5,-72.959863,45.524328000000004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
994,995,0.2859006736086744,6,-100.340448,51.302896999999994,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
